,GSM2571735,GSM2571736,GSM2571737,GSM2571738,GSM2571739,GSM2571740,GSM2571741,GSM2571742,GSM2571743,GSM2571744,GSM2571745,GSM2571746
LOC683077,11.4053717,11.50471294,11.4021675,11.45416695,11.42570633,11.19032472,11.4585962,11.81477817,11.72496938,11.64262492,11.67492109,11.66290173
LOC683192,7.973230577,7.972870726,7.973222816,7.973167729,7.973164572,7.97337051,7.973213988,7.973025346,7.972907586,7.972788163,7.972842164,7.973019905
LOC683313,6.734245064,6.73403627,6.73372777,6.733631325,6.733884094,6.733649208,6.733716437,6.734223626,6.73389567,6.733752186,6.733903579,6.734354356
LOC683404,6.357775631,6.357729251,6.358009389,6.357677288,6.357465284,6.358123188,6.357154891,6.358184339,6.357102444,6.357014018,6.35746245,6.357334958
LOC683508,8.645645894,8.523793452,8.573042643,8.466499728,8.568055532,8.253036429,8.63773492,9.10370697,8.845102837,8.780666564,8.7175194,8.919020062
LOC683573,9.459842128,9.459745877,9.459959575,9.4597684,9.459742536,9.460083705,9.460102239,9.459735357,9.459739466,9.459827458,9.459866141,9.459838133
LOC683605,7.842472148,7.520411036,7.862092878,7.630835485,7.820347541,7.778331773,7.661713855,7.504098424,7.379886609,7.49190648,7.436986214,7.514070622
LOC683674,7.510277505,7.510336418,7.510031164,7.510055356,7.510125153,7.510372438,7.510070315,7.509859989,7.510119352,7.510062658,7.50985359,7.509937053
LOC683722,7.00884388,7.009125429,7.008399348,7.008585763,7.008757006,7.008647183,7.008872859,7.008530374,7.008637948,7.008497679,7.008558424,7.008550566
LOC683884,11.31144289,10.96243696,11.41143016,11.38847911,11.28227965,11.32811517,11.37543908,11.21759575,11.02186018,11.09068355,10.95856971,11.31081396
LOC683897,8.513091589,8.512492373,8.513477995,8.512965794,8.512691928,8.512917262,8.51291568,8.513277034,8.512704489,8.512529924,8.512787449,8.51282862
LOC683955,8.029873688,8.03028762,8.029730143,8.029662397,8.029725799,8.029807879,8.029760043,8.02963025,8.02997511,8.029943528,8.030050424,8.02970168
LOC683961,12.57467106,12.01800403,12.65638038,12.38173334,12.49699688,12.77856342,12.49204115,11.81280735,11.58871747,11.69932568,11.73987446,12.03712562
LOC684122,6.902439397,6.947744907,6.960999435,6.935448132,6.962871943,7.003032035,6.906172237,6.873220576,6.883675722,6.903697297,6.91444437,6.91438457
LOC684173,6.419061241,6.419020784,6.418199227,6.418228488,6.418933413,6.418997777,6.418458163,6.41840613,6.418561948,6.418694117,6.41852333,6.418367322
LOC684193,7.17362541,7.252570246,7.673291129,7.658717093,7.541526988,7.547156075,7.381490435,7.660809355,7.747884874,7.624740208,7.488336,7.906391346
LOC684270,7.788683669,7.873049192,8.012754397,8.348918121,7.900113778,7.888363863,8.169482005,8.312246129,8.103313131,8.357550338,8.282491114,8.399174174
LOC684444,6.086528582,6.086618138,6.086602578,6.086608737,6.086618903,6.086527575,6.08653516,6.086530099,6.08661513,6.086488036,6.086530192,6.086608113
LOC684480,6.417479009,6.417677642,6.417503063,6.41731949,6.417226073,6.41738735,6.41705662,6.417201953,6.417325612,6.417662004,6.417541412,6.417388911
LOC684529,7.735588102,7.735211371,7.735622936,7.735554759,7.735355204,7.735292507,7.735435765,7.735807453,7.735424321,7.73536943,7.735535233,7.735612486
LOC684828,6.22491173,6.22528465,6.225431676,6.225473728,6.22533719,6.22536712,6.225184658,6.225416613,6.225180451,6.225241724,6.225354925,6.225270258
LOC684841,6.693075249,6.692995118,6.693564147,6.69291726,6.69329142,6.693288234,6.693240883,6.692455004,6.692614005,6.692843491,6.692562426,6.69297323
LOC684934,7.394450961,7.395034272,7.394093161,7.394203283,7.394746238,7.394556293,7.394477797,7.394370237,7.394881531,7.395050023,7.394928789,7.394616309
LOC684998,6.357387151,6.357331984,6.357295173,6.3577567,6.357403693,6.357510812,6.357312524,6.357327315,6.357469393,6.357573702,6.357372271,6.357864729
LOC685048,6.664721751,6.664648326,6.664675301,6.664579921,6.664564267,6.664677751,6.664715335,6.664828867,6.664537948,6.664242606,6.664842561,6.66490308
LOC685067,7.21582384,7.356542745,7.264285139,7.086128651,7.131638598,7.234380606,6.990890569,6.543221477,6.758152807,6.691588805,6.682605446,6.634442463
LOC685069,9.403500047,9.139253413,9.664209955,9.813821895,9.485972814,9.712467248,9.671471295,9.538269955,9.520973743,9.536687662,9.495987029,9.807320997
LOC685108,8.114794494,8.076778955,8.664625823,7.73465885,8.589112532,8.940566342,7.912450161,6.907036104,7.000409466,6.864988778,7.136336444,6.986792981
LOC685152,8.382103164,8.772625929,8.429742776,8.684806311,8.459803265,8.429628789,8.486276063,8.755786665,8.865523039,8.943652497,8.964508235,8.817689599
LOC685158,7.090510325,6.881377604,7.005153996,7.19912138,7.006738149,6.895882895,7.059543312,6.982836575,6.912673073,6.863330799,6.79938333,7.019429024
LOC685179,9.092114836,9.106467951,9.095245129,9.290020036,9.081214539,9.077714315,9.207375812,9.291597433,9.235605411,9.2615772,9.225291164,9.265603948
LOC685273,9.751235395,9.487635316,9.716120602,9.545485945,9.865427705,9.948671088,9.653627057,9.078275164,9.288187279,9.214969258,9.145373636,9.237054861
LOC685447,9.821743693,9.484322656,10.0512779,9.991349062,9.937137882,9.998493317,10.02372348,9.748958967,9.57109943,9.679269412,9.521543495,9.989717553
LOC685574,6.990856212,6.99078625,6.990707593,6.990731544,6.990679385,6.990745634,6.990852573,6.991166674,6.991032876,6.990982293,6.991128283,6.990982858
LOC685590,9.413719615,9.413986311,9.472593733,9.413687077,9.413750604,9.413807366,9.413659692,9.413716423,9.413796451,9.413875294,9.413745193,9.413579258
LOC685596,12.02644898,11.81498373,12.12676333,12.07503699,12.04107771,12.04829008,12.02650296,11.975958,11.8077202,11.81253504,11.87082991,12.03081889
LOC685619,7.90912653,7.90893323,7.909164706,7.909252323,7.909164122,7.909123148,7.90890319,7.909151036,7.908944462,7.909375974,7.908774376,7.908908766
LOC685707,8.459910191,8.287161806,8.615581128,8.660312454,8.579086572,8.57819256,8.375553248,8.489959835,8.238599416,8.310333331,8.330088009,8.201912515
LOC685849,6.671384173,6.671369874,6.6712728,6.671026726,6.671768231,6.671404675,6.671440216,6.671613585,6.671468119,6.671253375,6.67163272,6.671656961
LOC685888,9.062920028,8.786814414,9.284267815,9.510085303,9.076890464,9.183717706,9.339084294,9.252225183,9.039003619,9.005721394,9.126383915,9.377006177
LOC685964,6.661111516,6.661143109,6.661012444,6.660564324,6.660873205,6.660906334,6.660910839,6.6611414,6.660788227,6.660986271,6.660915759,6.660948293
LOC686087,8.533529396,8.186989262,8.625413313,8.615977356,8.530768543,8.437498877,8.44781537,8.654152199,8.661791045,8.587540558,8.576223127,8.798806517
LOC686120,6.477981157,6.478085612,6.478002062,6.477872842,6.477913291,6.478183502,6.478116353,6.478271924,6.47786046,6.477610677,6.477610313,6.477991577
LOC686124,5.888495357,5.88849925,5.888484053,5.888821616,5.888567497,5.888304557,5.888638621,5.888459997,5.888636722,5.888513918,5.888896664,5.887913982
LOC686143,6.723517149,6.723780959,6.723160111,6.723409891,6.723358438,6.723631923,6.723745036,6.723763376,6.723566501,6.722884732,6.723828323,6.723703035
LOC686151,6.636704268,6.635935804,6.636478863,6.636239531,6.636309601,6.636439038,6.636343234,6.635706088,6.63572195,6.635816699,6.635757056,6.635987065
LOC686432,7.202555786,7.202584815,7.202035385,7.201836486,7.202218424,7.202403115,7.202413144,7.202506997,7.201864781,7.201650445,7.20231343,7.202134181
LOC686442,11.80627213,11.6153236,11.81982631,11.99828812,11.8137552,11.84531948,11.95318425,11.86037056,11.86326034,11.92607838,11.84606677,11.91854762
LOC686461,7.653993699,7.652891006,7.653176996,7.654099317,7.653654638,7.65420074,7.653114093,7.652238108,7.651398668,7.651469908,7.652402032,7.65358969
LOC686774,8.706497081,9.044059584,8.851919738,8.857024387,8.721753484,8.71601798,8.744399764,9.071589847,9.110226129,9.087492465,9.094263361,9.030700257
LOC686980,8.167830667,8.772539129,8.357675677,8.3260435,8.495965214,8.505479194,8.245282952,8.322729654,8.810175364,8.81192622,8.59679736,8.276237922
LOC687022,8.897990292,9.175234528,9.136374065,9.344670955,9.07951742,8.990520135,9.188027733,9.398520832,9.472534502,9.409393586,9.346847557,9.355034989
LOC687029,9.885075169,9.456496461,9.861249148,9.662340968,9.740060185,9.901707738,9.846454017,9.459386624,9.331493349,9.37829007,9.383375616,9.605720884
LOC687035,6.483959006,6.483230886,6.483759186,6.483442127,6.483787928,6.484069468,6.483293509,6.483698358,6.48296924,6.483102581,6.482903448,6.484259176
LOC687183,7.580940711,7.580744962,7.581004687,7.580802462,7.580842633,7.581006984,7.580649631,7.580637036,7.58064915,7.580637705,7.580520446,7.580574568
LOC687295,7.970289587,7.969892037,7.970089593,7.970056796,7.970104411,7.970209923,7.970148812,7.969768043,7.969975311,7.96984427,7.969846028,7.969893961
LOC687399,6.655460903,6.655893487,6.655230854,6.65523086,6.655539932,6.655622337,6.655784719,6.655890356,6.655495129,6.655929585,6.655957171,6.655911724
LOC687508,7.105937922,7.105294042,7.106053665,7.106108155,7.105557536,7.105667034,7.105852266,7.105988976,7.105960648,7.105892533,7.105641275,7.106370423
LOC687565,9.515448737,9.361173046,9.596280011,9.528040573,9.551723164,9.588470154,9.54242461,9.423424328,9.396305366,9.432797571,9.394803068,9.510455839
LOC687797,6.560164779,6.559318012,6.559273503,6.559357099,6.559224796,6.559610797,6.559318357,6.559275499,6.559100041,6.558538173,6.559254267,6.559375616
LOC687808,6.806183384,6.806001566,6.806552565,6.806352658,6.806241361,6.806694468,6.806499458,6.805875777,6.805073584,6.805320783,6.805593865,6.805925613
LOC688041,8.455758298,8.455195256,8.455799876,8.455024301,8.45530835,8.455301126,8.45499467,8.455553103,8.455225082,8.454843267,8.455200113,8.455262962
LOC688090,7.78665002,6.771349971,7.212583272,6.734151075,7.992972857,8.666916449,7.180808736,6.594114905,6.593939458,6.594120064,6.594152518,6.594436076
LOC688126,6.745931937,6.745676409,6.745855347,6.746359785,6.746044449,6.74592672,6.746265762,6.746248011,6.746580699,6.746263282,6.746004154,6.746450261
LOC688176,7.880820741,7.880140333,7.881342916,7.880446845,7.880925819,7.880792936,7.880484924,7.880576038,7.88042218,7.879984934,7.88042005,7.880399387
LOC688251,6.019913818,6.019084247,6.019857152,6.018989811,6.019336783,6.019488202,6.019540761,6.019296589,6.019031366,6.018599391,6.018943832,6.019105077
LOC688280,6.901879818,6.901532538,6.90191524,6.901997276,6.902027048,6.90210395,6.902083389,6.901885064,6.9015197,6.901616477,6.901593462,6.901807675
LOC688314,7.834249595,7.834225477,7.834307174,7.834183918,7.833960628,7.834161275,7.834144897,7.834333661,7.833976097,7.833809193,7.834228691,7.834161082
LOC688324,6.200463087,6.200625023,6.20049846,6.200784714,6.200652361,6.200604661,6.200663636,6.200829127,6.200848917,6.200838334,6.20062499,6.200516636
LOC688452,7.610183122,7.993964155,7.664629304,7.705175172,7.626858848,7.489958949,7.579819634,7.774351968,8.11448976,8.189772615,8.041706662,7.80482652
LOC688459,6.675496392,6.67536322,6.675629653,6.67542231,6.675556262,6.675703284,6.675688219,6.675491746,6.6751942,6.675093723,6.675345271,6.675434089
LOC688637,8.266541747,8.051856635,8.49472457,7.910782666,8.291615509,8.29697698,7.957132597,7.822003052,8.086696842,8.055709376,7.977741182,7.79306134
LOC688682,11.68412515,11.83184672,11.72916516,11.88499216,11.74472648,11.61093214,11.84012038,11.95450791,11.99811391,12.0409179,11.91236718,11.9750092
LOC688712,12.22426221,11.5828024,12.20384784,12.06077759,12.14118392,12.30966212,12.1719416,11.77255125,11.44094878,11.46310108,11.58798847,11.91049023
LOC688765,6.989406032,6.988827092,6.989356709,6.989096927,6.989108117,6.98926251,6.989315247,6.989107328,6.989155906,6.989018567,6.989155047,6.989054988
LOC688815,9.598330485,9.048033749,9.496923685,9.314611758,9.454802483,9.502945291,9.494278208,9.154447237,9.029178671,9.104977753,8.998646077,9.23496259
LOC688963,11.68920898,11.5661874,11.78253423,11.90897209,11.74778517,11.72809774,11.8590848,11.87429751,11.83063345,11.81998601,11.8154763,11.98945032
LOC689226,9.982878826,9.877932005,10.06416199,10.08052425,10.08217979,10.10961244,10.04127232,9.823008622,9.873764858,9.826843111,9.844909372,9.927386672
LOC689499,7.912492955,8.072476596,7.858596527,8.48259416,7.796794012,7.647234679,8.244920665,8.476376224,8.278536004,8.37793784,8.533302163,8.506903895
LOC689574,8.771964751,8.463900686,8.8816671,9.146781224,8.80876401,9.048316668,8.944123263,8.696233803,8.555494317,8.606476688,8.769954851,8.860837293
LOC689589,5.902280058,5.90237332,5.902352415,5.902179661,5.902269089,5.902325022,5.902175653,5.902333739,5.902201735,5.902363228,5.902304291,5.902368761
LOC689600,6.416613762,6.416144626,6.416136064,6.415750684,6.416328428,6.41652901,6.415944048,6.416244591,6.415976574,6.415585488,6.415671129,6.416412881
LOC689618,6.5782837,6.57814757,6.578222435,6.578167783,6.5782703,6.578156801,6.578248681,6.578243431,6.577988183,6.577920739,6.577972665,6.5781366
LOC689770,6.367552166,6.367287034,6.367909942,6.367936128,6.367931024,6.367950302,6.367522453,6.367125543,6.368133289,6.367911381,6.367967743,6.369013849
LOC689959,6.706969609,6.706590163,6.707017862,6.706953417,6.706918283,6.70712692,6.706876467,6.706842546,6.706687647,6.706903454,6.706758628,6.706959947
LOC689991,6.492754146,6.492757677,6.492826202,6.492908399,6.492693865,6.492803802,6.492850072,6.493077409,6.492789206,6.492928708,6.492705409,6.492871852
LOC690000,7.950542802,7.950470968,7.950756579,7.970998569,7.950710775,7.950719396,7.950655969,8.094318824,8.124463101,8.162028238,8.043721847,8.031651158
LOC690020,6.579510048,6.579378141,6.578720972,6.579057417,6.579251742,6.579021483,6.579222729,6.579329913,6.57888862,6.578855267,6.579526809,6.57951974
LOC690035,6.77570597,7.099824783,7.01120784,7.108081255,6.822522906,6.865402344,6.998000015,7.05760891,7.360000547,7.259382155,7.346988769,7.035803505
LOC690068,7.334699441,6.9934749,7.765438545,7.2042358,7.467844486,7.462679926,7.065159255,7.082973607,6.948749342,6.831466641,6.987332213,6.974669462
LOC690082,6.272408987,6.272359847,6.271983071,6.272170698,6.27184452,6.272004427,6.27252613,6.272161427,6.2719782,6.271916044,6.271759589,6.271952333
LOC690085,8.278479212,8.333072657,8.406831219,8.598332786,8.144718185,8.246581968,8.439765534,8.922688739,8.847861676,8.842267967,8.790865452,8.790041463
LOC690155,7.255197055,7.254752427,7.255605139,7.255040006,7.255217861,7.255038459,7.254994767,7.255282473,7.255272396,7.255429472,7.254956061,7.255549959
LOC690206,6.620939156,6.6206818,6.620696013,6.620645845,6.620678664,6.620751434,6.620784474,6.620906448,6.620477698,6.620425682,6.62063224,6.620764731
LOC690231,6.489204732,6.489073835,6.4889818,6.489211193,6.4890031,6.48916021,6.489108158,6.489430455,6.489333514,6.489201011,6.489227362,6.489556045
LOC690251,9.135502877,8.782413726,9.005157139,8.826065384,8.836041254,8.912393312,9.534215557,9.50683031,6.809429931,9.519322277,8.740068834,8.7059686
LOC690286,9.232688027,9.474999441,9.636690013,10.43302139,9.180219395,9.207525081,9.642917874,10.1631788,10.08770786,10.1607798,10.12818868,10.10910022
LOC690323,7.001180496,7.00097042,7.001001858,7.000829597,7.000674697,7.00116905,7.001025804,7.000937188,7.000460281,7.000491624,7.001145475,7.001019812
LOC690326,5.950292978,5.9498268,5.950218896,5.949617669,5.949575496,5.950032737,5.95016849,5.949941734,5.949562264,5.949607202,5.94969553,5.950084371
LOC690349,8.713272487,8.007095251,8.799070081,8.21157987,8.728295484,8.800706969,8.429998279,7.924762091,7.766559246,7.882063778,7.731009825,7.980512077
LOC690422,6.919261735,6.919445026,6.919563561,6.91945902,6.91977897,6.919333916,6.919229757,6.919573822,6.919690868,6.919687627,6.919162809,6.91963516
LOC690646,6.989007483,6.98951875,6.988959502,6.988932333,6.988788624,6.989072869,6.989083739,6.988779597,6.989411545,6.989470148,6.989208357,6.989146367
LOC690806,7.288875496,7.073813302,7.338046212,7.368551423,7.299734337,7.370005008,7.307207761,7.126997965,6.9189699,7.001452783,7.02299754,7.124942935
LOC690826,6.504621263,6.505200515,6.505221425,6.505321746,6.504991074,6.504705351,6.504892242,6.505418175,6.504780194,6.505613006,6.505505884,6.505056742
LOC690871,9.068631391,8.744353774,9.328694053,9.343722522,9.232630708,9.352719326,9.308779386,8.901482765,8.855699702,8.873307447,8.88609753,9.251779957
LOC690911,8.139705586,8.304460824,8.229167771,8.203849924,8.095783988,8.207221022,8.115063438,8.463209977,8.397454918,8.43579996,8.369769529,8.285138412
LOC690918,7.334226622,7.333897822,7.333150284,7.333344206,7.333768192,7.33339027,7.333804608,7.333513994,7.333321837,7.333458942,7.333266012,7.333418537
LOC691083,6.84880983,6.848586349,6.847948901,6.847861545,6.848823199,6.848678034,6.848882659,6.848910444,6.848680904,6.848541915,6.848631169,6.848655667
LOC691113,7.455268651,7.455388314,7.455339676,7.455347771,7.455263552,7.455422694,7.455246115,7.455306588,7.455539179,7.455565268,7.455432972,7.455427524
LOC691135,7.091578367,7.091405083,7.091271357,7.091243772,7.091101365,7.091034315,7.091389386,7.091504383,7.091486436,7.091563266,7.091545044,7.091437931
LOC691143,7.285940424,7.285845322,7.286123715,7.286036897,7.286038258,7.286035853,7.285900083,7.285691375,7.285821614,7.285865906,7.28573937,7.285798242
LOC691162,6.399377268,6.399182259,6.399419963,6.399523782,6.399698294,6.399415723,6.399419201,6.399326838,6.399490168,6.399445258,6.399174,6.399499405
LOC691170,7.394809072,7.474163895,7.640305082,7.633268701,7.46058622,7.389874971,7.453320467,7.6356762,7.737368129,7.749396366,7.608739931,7.80750657
LOC691280,6.972897887,6.972616824,6.972687039,6.972289726,6.972349379,6.972490525,6.972494366,6.972062686,6.972347013,6.972119856,6.972150522,6.972073986
LOC691354,6.301881324,6.301745795,6.301869136,6.301700231,6.301693529,6.301767342,6.301866126,6.302060618,6.301558272,6.301804801,6.301868324,6.301942503
LOC691392,12.71114828,12.26403573,12.78978001,12.66371544,12.66703559,12.85996727,12.67435813,12.1910907,12.00472283,11.96653947,11.99940611,12.3728348
LOC691422,6.890661056,6.89022685,6.891033226,6.890955907,6.891007928,6.890709899,6.890759928,6.89081277,6.891153139,6.891152191,6.89092508,6.890640484
LOC691485,6.702293545,6.701917934,6.701895419,6.702193599,6.702218459,6.702367615,6.701898498,6.702028684,6.701807914,6.701769218,6.701751516,6.70239527
LOC691700,9.067204318,9.107174612,9.114040168,9.173710353,8.976331908,8.880540622,9.058096958,9.402658148,9.42933343,9.424203803,9.437048734,9.376952262
LOC691807,11.156298,10.93038319,11.32742308,11.25263062,11.19428354,11.40643004,11.18903057,10.91697939,10.90036652,10.88311814,10.96796047,11.10580209
LOC691849,7.51782759,7.235682196,7.606501611,7.635808503,7.521420358,7.590420812,7.564569833,7.473898791,7.278176802,7.389886617,7.442185682,7.5414821
LOC691853,8.118425325,8.118451671,8.118082911,8.118195351,8.118213759,8.118272419,8.118400214,8.118696036,8.11853892,8.118629515,8.118560921,8.118574727
LOC691889,7.144558889,7.144771202,7.144612011,7.144458915,7.14477951,7.144467212,7.144561095,7.144765045,7.144799965,7.144816491,7.14503262,7.144916798
LOC691920,6.419730674,6.42041443,6.419904355,6.42067084,6.420068261,6.420206636,6.420409702,6.420478551,6.420902447,6.420802931,6.42040688,6.420377146
LOC691921,7.97298666,7.496714232,8.040447836,7.951245016,7.890619559,7.911916402,7.947122792,7.767463818,7.675990246,7.768172105,7.743302331,7.935684403
LOC691931,6.415953165,6.416433304,6.416360858,6.416018209,6.416467288,6.416130468,6.415802687,6.416527879,6.416327074,6.416050768,6.416413547,6.417013009
LOC691932,6.200037622,6.19999508,6.199893794,6.200002903,6.199994243,6.200086848,6.200051564,6.200007414,6.200018871,6.199989676,6.200093587,6.199994499
LOC691962,7.50567929,7.505409563,7.506051187,7.506065261,7.506020495,7.50602029,7.505787322,7.50577427,7.505631645,7.505633484,7.505733295,7.505752315
LOC691984,7.707207152,7.707057165,7.707419329,7.706888982,7.707604118,7.707215381,7.706848168,7.706883976,7.706941266,7.706847592,7.706748288,7.706956952
LOC691995,10.08473494,10.14394465,10.29411589,10.03325238,10.44220805,10.2149335,10.33008519,9.980211047,9.831965371,10.12817171,10.11103317,9.871033867
LOH12CR1,6.998826724,6.99897297,6.998629858,6.998609688,6.998598561,6.998780251,6.998945914,6.999114464,6.9990494,6.99874053,6.998990778,6.998972295
LONP1,6.106339419,6.106112519,6.106167727,6.106007824,6.106478007,6.106325906,6.106296305,6.106185587,6.105715156,6.105689689,6.106167404,6.106140991
LONP2,9.411742745,9.418919487,9.469171595,9.458119536,9.451325153,9.390877828,9.409555886,9.499119706,9.506872054,9.468117916,9.462957608,9.456620503
LOR,7.866836402,7.866226497,7.865491124,7.867251535,7.863285263,7.866151418,7.867410924,7.869458116,7.872256391,7.872316854,7.871948947,7.872114899
LOX,8.424065393,7.794183013,8.757475426,6.933436896,8.67283889,8.732641264,7.366053258,6.490131982,6.449957169,6.558292528,6.53988922,6.533102918
LOXL1,7.23268711,7.245961697,7.883183185,7.335771592,7.604269657,7.926272006,7.250326164,7.323785847,7.196536586,7.382826553,7.388143995,7.420453974
LOXL2,6.525145259,6.524864254,6.525210242,6.524861285,6.5250825,6.525435652,6.524917106,6.524593667,6.524555629,6.524619684,6.524534236,6.524615679
LOXL3,6.924708322,6.924731023,6.924915491,6.924917322,6.924941583,6.924960384,6.924943232,6.924901624,6.925017773,6.924932727,6.924898314,6.925100599
LPAR1,10.08075173,9.668062229,10.22967257,10.1235502,10.2208849,10.30633041,9.962835165,9.595535149,9.547854458,9.656144963,9.770537966,9.757703188
LPAR2,6.465869188,6.465784197,6.465691021,6.465903609,6.465895254,6.465668293,6.465738455,6.465921921,6.465712362,6.465753304,6.465574123,6.465917262
LPAR3,6.172219726,6.1715474,6.171793718,6.171851987,6.171752353,6.171988769,6.172408593,6.172119211,6.171408529,6.17152656,6.171624931,6.172146347
LPAR4,5.856843771,5.964652615,6.098053576,6.491088787,6.039089838,6.03121599,6.023052632,6.496117875,6.44056868,6.495866992,6.489648318,6.468311445
LPAR6,7.452925184,7.003374882,7.661297811,7.330532568,7.643154586,7.778061222,7.447605255,6.915134149,6.978281255,7.075415872,6.886763741,7.0610979
LPCAT1,8.133227718,8.14851489,8.135622705,8.116734397,8.137678162,8.151027296,8.104618815,8.100376155,8.129060227,8.130636844,8.113172936,8.09913367
LPCAT3,8.171451204,8.171641535,8.171734323,8.171716013,8.171592763,8.171931949,8.171498207,8.171240333,8.171443433,8.17156243,8.171518136,8.171416967
LPCAT4,7.877779972,8.163030559,7.724729681,8.153139522,7.762753777,7.738437702,7.967279328,8.220550673,8.279893113,8.305360365,8.38801494,8.143658765
LPGAT1,9.355209588,8.78002043,9.46512434,9.59616055,9.47824017,9.355499895,9.371466244,9.111789092,8.731184682,8.811806249,8.829387329,8.876093967
LPHN1,8.183183941,8.477130271,8.144467729,8.634774944,8.41287775,8.165540892,8.55769426,8.793585193,8.798544857,8.905540303,8.735939656,8.569752693
LPHN2,8.358313742,8.73601345,8.458934799,8.801779019,8.607813868,8.359856522,8.589026608,8.983912796,9.050366108,9.11431776,9.01664105,8.894314811
LPHN3,6.983206574,6.809172782,7.226077064,7.110429401,7.106842572,7.043963169,6.903400893,7.087977368,6.843140996,7.07334883,6.813798109,7.073310569
LPIN1,8.054766639,8.055349794,8.054692892,8.055031265,8.054692173,8.054438778,8.054891079,8.054811153,8.055174007,8.055127083,8.05506464,8.054440833
LPIN2,8.557607219,8.746365021,8.5934417,8.514488782,8.607932783,8.495029763,8.517433579,8.849543484,8.897391384,8.913958327,8.850584562,8.839487742
LPIN3,6.888730717,6.888671204,6.888552052,6.888494749,6.888838699,6.888845057,6.888746864,6.888637116,6.888796823,6.888717653,6.888870732,6.888780685
LPL,7.840398306,8.234357124,8.095884675,8.104620793,8.161272602,7.869645124,7.979585893,8.382959737,8.475830047,8.403085802,8.322467264,8.373824974
LPO,6.624005973,6.623842262,6.623390618,6.624011429,6.62395762,6.623642677,6.623778817,6.624407686,6.623962222,6.624053388,6.623843876,6.624129455
LPP,7.176878005,7.176431131,7.176511787,7.176632301,7.17692821,7.176900905,7.176867034,7.176487371,7.176258385,7.176278065,7.176586209,7.176629237
LPPR2,8.91147499,8.911448067,8.911255703,8.911427979,8.911369268,8.911294517,8.911450665,8.911572509,8.911630761,8.911675262,8.911587913,8.911488526
LPPR3,7.428785174,7.698886549,7.490948142,7.818425431,7.340180508,7.275490701,7.694320362,7.754192023,7.987721398,8.136199839,7.862643313,7.850723881
LPPR4,11.4331058,11.31167556,11.23998226,11.05489162,11.36285921,11.17770391,11.10701393,11.30981902,11.2597766,11.28062951,11.25355749,11.22429404
LPPR5,8.327239431,8.32692048,8.327274156,8.327129236,8.327186956,8.327042596,8.327091648,8.327410718,8.327049621,8.326982722,8.32707375,8.327171246
LPXN,7.358032248,6.956122643,7.321786704,7.346925635,7.440311322,7.291546071,7.262949055,7.012060635,7.101551863,6.99894602,7.000805224,7.154930101
LRAT,6.165518181,6.16547377,6.165691527,6.165741277,6.166086179,6.166182969,6.16578395,6.164971312,6.165667122,6.165345812,6.164952418,6.165350377
LRBA,7.527166569,7.527343655,7.527199768,7.527395074,7.527116187,7.52719214,7.527300933,7.527702333,7.527738783,7.527776016,7.527641816,7.527707441
LRCH1,6.689736781,6.689764406,6.689788208,6.689717716,6.689966866,6.689978608,6.689708677,6.689511669,6.689493393,6.68949098,6.689501394,6.689431825
LRCH2,7.135606564,7.135618193,7.400369847,7.135940332,7.135726195,7.135598416,7.135703822,7.616224502,7.292867379,7.136144939,7.42748315,7.141256546
LRCH3,7.563420579,7.56365366,7.563641443,7.563676198,7.56348392,7.563648338,7.563488278,7.563643848,7.563768224,7.5638087,7.563735563,7.563631579
LRCH4,7.691319257,7.691511076,7.690779965,7.691365771,7.691553527,7.691369627,7.691637497,7.691448911,7.691547477,7.691540138,7.691307368,7.691783351
LRFN1,7.882858916,7.883053881,7.882693296,7.882780459,7.882741019,7.882861696,7.882817335,7.882952162,7.882729649,7.882592924,7.88296364,7.882898151
LRFN2,7.10028831,7.100208116,7.099829389,7.099763275,7.099990373,7.099981491,7.100023151,7.100155076,7.099995846,7.100071837,7.100093769,7.100046891
LRFN3,7.69606284,7.69626916,7.69620933,7.696234548,7.695990274,7.696308519,7.696284235,7.696292574,7.696175602,7.696255539,7.696385193,7.69620746
LRFN4,7.84028138,7.840242247,7.839927473,7.839976866,7.840126093,7.840105302,7.840128624,7.839922733,7.839796425,7.839959984,7.839920886,7.839730875
LRFN5,8.449800341,8.788997075,8.622104557,9.031675518,8.538121948,8.357684712,8.627275329,9.179823856,9.283075842,9.252450877,9.161911597,9.150959218
LRG1,7.884463882,7.91377213,8.063730874,7.694405612,7.906486801,8.399305358,7.603868812,7.188359618,7.318920958,7.36433925,7.553057917,7.47318048
LRGUK,6.546085422,6.545684177,6.546056461,6.546121769,6.546044432,6.545954461,6.546119896,6.546156948,6.5458673,6.545941292,6.546063385,6.546145036
LRIF1,7.90318219,7.902892712,7.903378103,7.903087018,7.903143986,7.903193252,7.903029573,7.90345726,7.903083164,7.902975137,7.903222153,7.903273348
LRIG1,8.492726835,8.493220611,8.492958868,8.492991728,8.492858311,8.492692106,8.49297945,8.492810131,8.492947268,8.492937462,8.492845713,8.49282933
LRIG3,7.072195616,7.072092089,7.072163166,7.072688157,7.07224744,7.072282572,7.072247343,7.072065069,7.072386109,7.072490663,7.072390497,7.072409048
LRIT1,6.309562622,6.309068114,6.308910115,6.309202997,6.309686935,6.309295942,6.309410439,6.310153382,6.30918039,6.308820468,6.309658411,6.309568378
