source_celltype,target_celltype,lr_pair,flow
Microglia,Microglia,HMGB1-TLR4,0.6499882414937019
Microglia,Astrocyte,HMGB1-TLR4,0.2999945729970932
Microglia,Oligodendrocyte,HMGB1-TLR4,0.2999945729970932
Microglia,Endothelial,HMGB1-TLR4,0.2999945729970932
Microglia,Pericyte,HMGB1-TLR4,0.2999945729970932
Astrocyte,Neuron,HMGB1-TLR4,0.2999945729970932
Astrocyte,Microglia,HMGB1-TLR4,0.6499882414937019
Astrocyte,Astrocyte,HMGB1-TLR4,0.2999945729970932
Astrocyte,Oligodendrocyte,HMGB1-TLR4,0.2999945729970932
Astrocyte,Endothelial,HMGB1-TLR4,0.2999945729970932
Astrocyte,Pericyte,HMGB1-TLR4,0.2999945729970932
Oligodendrocyte,Neuron,HMGB1-TLR4,0.2999945729970932
Oligodendrocyte,Microglia,HMGB1-TLR4,0.6499882414937019
Oligodendrocyte,Astrocyte,HMGB1-TLR4,0.2999945729970932
Oligodendrocyte,Oligodendrocyte,HMGB1-TLR4,0.2999945729970932
Oligodendrocyte,Endothelial,HMGB1-TLR4,0.2999945729970932
Oligodendrocyte,Pericyte,HMGB1-TLR4,0.2999945729970932
Endothelial,Neuron,HMGB1-TLR4,0.2999945729970932
Endothelial,Microglia,HMGB1-TLR4,0.6499882414937019
Endothelial,Astrocyte,HMGB1-TLR4,0.2999945729970932
Endothelial,Oligodendrocyte,HMGB1-TLR4,0.2999945729970932
Endothelial,Endothelial,HMGB1-TLR4,0.2999945729970932
Endothelial,Pericyte,HMGB1-TLR4,0.2999945729970932
Pericyte,Neuron,HMGB1-TLR4,0.2999945729970932
Pericyte,Microglia,HMGB1-TLR4,0.6499882414937019
Pericyte,Astrocyte,HMGB1-TLR4,0.2999945729970932
Pericyte,Oligodendrocyte,HMGB1-TLR4,0.2999945729970932
Pericyte,Endothelial,HMGB1-TLR4,0.2999945729970932
Pericyte,Pericyte,HMGB1-TLR4,0.2999945729970932
Neuron,Neuron,S100A8-TLR4,0.2999556720256805
Neuron,Microglia,S100A8-TLR4,0.6499039560556412
Neuron,Astrocyte,S100A8-TLR4,0.2999556720256805
Neuron,Oligodendrocyte,S100A8-TLR4,0.2999556720256805
Neuron,Endothelial,S100A8-TLR4,0.2999556720256805
Neuron,Pericyte,S100A8-TLR4,0.2999556720256805
Microglia,Neuron,S100A8-TLR4,0.2999556720256805
Microglia,Microglia,S100A8-TLR4,0.6499039560556412
Microglia,Astrocyte,S100A8-TLR4,0.2999556720256805
Microglia,Oligodendrocyte,S100A8-TLR4,0.2999556720256805
Microglia,Endothelial,S100A8-TLR4,0.2999556720256805
Microglia,Pericyte,S100A8-TLR4,0.2999556720256805
Astrocyte,Neuron,S100A8-TLR4,0.2999556720256805
Astrocyte,Microglia,S100A8-TLR4,0.6499039560556412
Astrocyte,Astrocyte,S100A8-TLR4,0.2999556720256805
Astrocyte,Oligodendrocyte,S100A8-TLR4,0.2999556720256805
Astrocyte,Endothelial,S100A8-TLR4,0.2999556720256805
Astrocyte,Pericyte,S100A8-TLR4,0.2999556720256805
Oligodendrocyte,Neuron,S100A8-TLR4,0.2999556720256805
Oligodendrocyte,Microglia,S100A8-TLR4,0.6499039560556412
Oligodendrocyte,Astrocyte,S100A8-TLR4,0.2999556720256805
Oligodendrocyte,Oligodendrocyte,S100A8-TLR4,0.2999556720256805
Oligodendrocyte,Endothelial,S100A8-TLR4,0.2999556720256805
Oligodendrocyte,Pericyte,S100A8-TLR4,0.2999556720256805
Endothelial,Neuron,S100A8-TLR4,0.2999556720256805
Endothelial,Microglia,S100A8-TLR4,0.6499039560556412
Endothelial,Astrocyte,S100A8-TLR4,0.2999556720256805
Endothelial,Oligodendrocyte,S100A8-TLR4,0.2999556720256805
Endothelial,Endothelial,S100A8-TLR4,0.2999556720256805
Endothelial,Pericyte,S100A8-TLR4,0.2999556720256805
Pericyte,Neuron,S100A8-TLR4,0.2999556720256805
Pericyte,Microglia,S100A8-TLR4,0.6499039560556412
Pericyte,Astrocyte,S100A8-TLR4,0.2999556720256805
Pericyte,Oligodendrocyte,S100A8-TLR4,0.2999556720256805
Pericyte,Endothelial,S100A8-TLR4,0.2999556720256805
Pericyte,Pericyte,S100A8-TLR4,0.2999556720256805
