compound,cid,CanonicalSMILES
Curcumin,969516,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O
Ferulic acid,445858,COC1=C(C=CC(=C1)/C=C/C(=O)O)O
Pinocembrin,68071,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3
Chrysin,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
Apigenin,5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
Genistein,5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
Daidzein,5281708,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O
Formononetin,5280378,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O
Oroxylin A,5320315,COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=CC=C3)O
Scutellarein,5281697,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O
Tangeretin,68077,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC
Nobiletin,72344,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC
Fisetin,5281614,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
Galangin,5281616,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
Phloretin,4788,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O
Catechin,9064,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
Epicatechin,72276,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
Tetramethylpyrazine,14296,CC1=C(N=C(C(=N1)C)C)C
Tanshinone IIA,164676,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C
Danshensu,11600642,C1=CC(=C(C=C1C[C@H](C(=O)O)O)O)O
Honokiol,72303,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C
Magnolol,72300,C=CCC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)CC=C)O
Schisandrin,3001664,C[C@H]1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3C[C@]1(C)O)OC)OC)OC)OC)OC)OC
Schisandrin B,108130,CC1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4CC1C)OC)OC)OC)OC)OCO3
Dihydroartemisinin,3000518,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)O)C
Artemisinin,68827,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C
Shikonin,479503,CC(=CC[C@H](C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)O)C
Plumbagin,10205,CC1=CC(=O)C2=C(C1=O)C=CC=C2O
Emodin,3220,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O
Aloe emodin,10207,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO
Physcion,10639,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)OC
Chrysophanol,10208,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O
Salidroside,159278,C1=CC(=CC=C1CCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O
Tyrosol,10393,C1=CC(=CC=C1CCO)O
Hydroxytyrosol,82755,C1=CC(=C(C=C1CCO)O)O
Sulforaphane,5350,CS(=O)CCCCN=C=S
Dimethyl fumarate,637568,COC(=O)/C=C/C(=O)OC
Edaravone,4021,CC1=NN(C(=O)C1)C2=CC=CC=C2
Idebenone,3686,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO
Alpha-lipoic acid,864,C1CSSC1CCCCC(=O)O
Melatonin,896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
Huperzine A,854026,C/C=C/1\[C@@H]2CC3=C([C@]1(CC(=C2)C)N)C=CC(=O)N3
N-acetylcysteine,12035,CC(=O)N[C@@H](CS)C(=O)O
