compound,cid,source,note,SMILES,ConnectivitySMILES,MolecularFormula,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount,TPSA,RotatableBondCount,source_herb,mechanism,bbb_tier,CanonicalSMILES
Quercetin,5280343,Artemisia argyi (Aiye),Nrf2/HO-1 anti-ferroptosis,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.23,1.5,5,7,127.0,1,Artemisia argyi (Aiye),Nrf2/HO-1 anti-ferroptosis,Moderate,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
Naringenin,439246,Artemisia argyi (Aiye),antioxidant,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,C15H12O5,272.25,2.4,3,5,87.0,1,Artemisia argyi (Aiye),antioxidant,Likely,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
Eucalyptol,2758,Artemisia argyi (Aiye) essential oil,"volatile oil, anti-inflammatory",CC1(C2CCC(O1)(CC2)C)C,CC1(C2CCC(O1)(CC2)C)C,C10H18O,154.25,2.5,0,1,9.2,0,Artemisia argyi (Aiye) essential oil,"volatile oil, anti-inflammatory",Likely,CC1(C2CCC(O1)(CC2)C)C
Borneol,64685,Artemisia argyi (Aiye),BBB penetration enhancer,CC1(C2CCC1(C(C2)O)C)C,CC1(C2CCC1(C(C2)O)C)C,C10H18O,154.25,2.7,1,1,20.2,0,Artemisia argyi (Aiye),BBB penetration enhancer,Likely,CC1(C2CCC1(C(C2)O)C)C
Baicalein,5281605,Scutellaria baicalensis (Huangqin),Nrf2/GPX4 anti-ferroptosis,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,C15H10O5,270.24,1.7,3,5,87.0,1,Scutellaria baicalensis (Huangqin),Nrf2/GPX4 anti-ferroptosis,Likely,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O
Wogonin,5281703,Scutellaria baicalensis (Huangqin),"neuroprotective, anti-inflammatory",COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O,C16H12O5,284.26,3.0,2,5,76.0,2,Scutellaria baicalensis (Huangqin),"neuroprotective, anti-inflammatory",Likely,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O
Luteolin,5280445,Artemisia argyi (Aiye) / multiple herbs,"anti-ferroptosis, antioxidant",C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1.4,4,6,107.0,1,Artemisia argyi (Aiye) / multiple herbs,"anti-ferroptosis, antioxidant",Moderate,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O
Kaempferol,5280863,Artemisia argyi (Aiye) / multiple herbs,"antioxidant, modulates ferroptosis",C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1.9,4,6,107.0,1,Artemisia argyi (Aiye) / multiple herbs,"antioxidant, modulates ferroptosis",Moderate,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
Hesperetin,72281,Citrus reticulata (Chenpi),"neuroprotective, anti-inflammatory",COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,C16H14O6,302.28,2.4,3,6,96.2,2,Citrus reticulata (Chenpi),"neuroprotective, anti-inflammatory",Likely,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O
Resveratrol,445154,Polygonum cuspidatum (Huzhang),Nrf2/HO-1 anti-ferroptosis,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,C14H12O3,228.24,3.1,3,3,60.7,2,Polygonum cuspidatum (Huzhang),Nrf2/HO-1 anti-ferroptosis,Likely,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O
Curcumin,969516,Curcuma longa (Jianghuang),Nrf2/HO-1 anti-ferroptosis,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,C21H20O6,368.4,3.2,2,6,93.1,8,Curcuma longa (Jianghuang),Nrf2/HO-1 anti-ferroptosis,Likely,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O
Ferulic acid,445858,Angelica sinensis / Cinnamomum,"antioxidant, neuroprotective",COC1=C(C=CC(=C1)/C=C/C(=O)O)O,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,C10H10O4,194.18,1.5,2,4,66.8,3,Angelica sinensis / Cinnamomum,"antioxidant, neuroprotective",Likely,COC1=C(C=CC(=C1)/C=C/C(=O)O)O
Pinocembrin,68071,Pinus / Propolis,"anti-inflammatory, BBB protective",C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3,C15H12O4,256.25,2.7,2,4,66.8,1,Pinus / Propolis,"anti-inflammatory, BBB protective",Likely,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3
Chrysin,5281607,Passiflora / Oroxylum,antioxidant,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,C15H10O4,254.24,2.1,2,4,66.8,1,Passiflora / Oroxylum,antioxidant,Likely,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
Apigenin,5280443,Apium / Artemisia,Nrf2 anti-oxidative stress,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1.7,3,5,87.0,1,Apium / Artemisia,Nrf2 anti-oxidative stress,Moderate,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
Genistein,5280961,Glycine max / Pueraria,"Nrf2/HO-1, anti-ferroptosis",C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,C15H10O5,270.24,2.7,3,5,87.0,1,Glycine max / Pueraria,"Nrf2/HO-1, anti-ferroptosis",Moderate,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
Daidzein,5281708,Glycine max / Pueraria,"antioxidant, estrogenic",C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,C15H10O4,254.24,2.5,2,4,66.8,1,Glycine max / Pueraria,"antioxidant, estrogenic",Likely,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O
Formononetin,5280378,Astragalus / Trifolium,neuroprotective,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,C16H12O4,268.26,2.8,1,4,55.8,2,Astragalus / Trifolium,neuroprotective,Likely,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O
Oroxylin A,5320315,Scutellaria baicalensis,"anti-inflammatory, BBB",COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=CC=C3)O,COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=CC=C3)O,C16H12O5,284.26,2.1,2,5,76.0,2,Scutellaria baicalensis,"anti-inflammatory, BBB",Likely,COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=CC=C3)O
Scutellarein,5281697,Scutellaria baicalensis,antioxidant,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O,C15H10O6,286.24,1.4,4,6,107.0,1,Scutellaria baicalensis,antioxidant,Moderate,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O
Tangeretin,68077,Citrus reticulata (Chenpi),neuroprotective,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,C20H20O7,372.4,3.0,0,7,72.5,6,Citrus reticulata (Chenpi),neuroprotective,Likely,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC
Nobiletin,72344,Citrus reticulata (Chenpi),"neuroprotective, anti-inflammatory",COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,C21H22O8,402.4,3.0,0,8,81.7,7,Citrus reticulata (Chenpi),"neuroprotective, anti-inflammatory",Likely,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC
Fisetin,5281614,Rhus / Cotinus,"senolytic, Nrf2, neuroprotective",C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,C15H10O6,286.24,2.0,4,6,107.0,1,Rhus / Cotinus,"senolytic, Nrf2, neuroprotective",Moderate,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
Galangin,5281616,Alpinia officinarum (Gaoliangjiang),antioxidant,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,2.3,3,5,87.0,1,Alpinia officinarum (Gaoliangjiang),antioxidant,Moderate,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
Phloretin,4788,Malus pumila (Pingguo),anti-oxidative stress,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,C15H14O5,274.27,2.6,4,5,98.0,4,Malus pumila (Pingguo),anti-oxidative stress,Moderate,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O
Catechin,9064,Camellia sinensis (Cha),"antioxidant, metal chelation",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,0.4,5,6,110.0,1,Camellia sinensis (Cha),"antioxidant, metal chelation",Moderate,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
Epicatechin,72276,Camellia sinensis (Cha),antioxidant,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,0.4,5,6,110.0,1,Camellia sinensis (Cha),antioxidant,Moderate,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
Tetramethylpyrazine,14296,Ligusticum chuanxiong (Chuanxiong),"anti-ischemic, BBB",CC1=C(N=C(C(=N1)C)C)C,CC1=C(N=C(C(=N1)C)C)C,C8H12N2,136.19,1.3,0,2,25.8,0,Ligusticum chuanxiong (Chuanxiong),"anti-ischemic, BBB",Likely,CC1=C(N=C(C(=N1)C)C)C
Tanshinone IIA,164676,Salvia miltiorrhiza (Danshen),"anti-ferroptosis, anti-apoptotic",CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,C19H18O3,294.3,4.3,0,3,47.3,0,Salvia miltiorrhiza (Danshen),"anti-ferroptosis, anti-apoptotic",Likely,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C
Danshensu,11600642,Salvia miltiorrhiza (Danshen),"antioxidant, anti-ischemic",C1=CC(=C(C=C1C[C@H](C(=O)O)O)O)O,C1=CC(=C(C=C1C[C@H](C(=O)O)O)O)O,C9H10O5,198.17,-0.2,4,5,98.0,3,Salvia miltiorrhiza (Danshen),"antioxidant, anti-ischemic",Likely,C1=CC(=C(C=C1C[C@H](C(=O)O)O)O)O
Honokiol,72303,Magnolia officinalis (Houpo),"anti-inflammatory, BBB",C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C,C18H18O2,266.3,5.0,2,2,40.5,5,Magnolia officinalis (Houpo),"anti-inflammatory, BBB",Likely,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C
Magnolol,72300,Magnolia officinalis (Houpo),"anti-inflammatory, antioxidant",C=CCC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)CC=C)O,C=CCC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)CC=C)O,C18H18O2,266.3,5.0,2,2,40.5,5,Magnolia officinalis (Houpo),"anti-inflammatory, antioxidant",Likely,C=CCC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)CC=C)O
Schisandrin,3001664,Schisandra chinensis (Wuweizi),"hepatoprotective, antioxidant",C[C@H]1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3C[C@]1(C)O)OC)OC)OC)OC)OC)OC,C[C@H]1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3C[C@]1(C)O)OC)OC)OC)OC)OC)OC,C24H32O7,432.5,4.0,1,7,75.6,6,Schisandra chinensis (Wuweizi),"hepatoprotective, antioxidant",Likely,C[C@H]1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3C[C@]1(C)O)OC)OC)OC)OC)OC)OC
Schisandrin B,108130,Schisandra chinensis (Wuweizi),anti-oxidative stress,CC1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4CC1C)OC)OC)OC)OC)OCO3,CC1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4CC1C)OC)OC)OC)OC)OCO3,C23H28O6,400.5,5.1,0,6,55.4,4,Schisandra chinensis (Wuweizi),anti-oxidative stress,Likely,CC1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4CC1C)OC)OC)OC)OC)OCO3
Dihydroartemisinin,3000518,Artemisia annua (Qinghao),"anti-malarial, ferroptosis inducer",C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)O)C,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)O)C,C15H24O5,284.35,2.5,1,5,57.2,0,Artemisia annua (Qinghao),"anti-malarial, ferroptosis inducer",Likely,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)O)C
Artemisinin,68827,Artemisia annua (Qinghao),"endoperoxide, ferroptosis-related",C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,C15H22O5,282.33,2.8,0,5,54.0,0,Artemisia annua (Qinghao),"endoperoxide, ferroptosis-related",Likely,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C
Shikonin,479503,Lithospermum erythrorhizon (Zicao),ferroptosis inducer / anti-tumor,CC(=CC[C@H](C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)O)C,CC(=CC[C@H](C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)O)C,C16H16O5,288.29,3.0,3,5,94.8,3,Lithospermum erythrorhizon (Zicao),ferroptosis inducer / anti-tumor,Moderate,CC(=CC[C@H](C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)O)C
Plumbagin,10205,Plumbago zeylanica (Baihua Dan),ferroptosis inducer / anti-cancer,CC1=CC(=O)C2=C(C1=O)C=CC=C2O,CC1=CC(=O)C2=C(C1=O)C=CC=C2O,C11H8O3,188.18,2.3,1,3,54.4,0,Plumbago zeylanica (Baihua Dan),ferroptosis inducer / anti-cancer,Likely,CC1=CC(=O)C2=C(C1=O)C=CC=C2O
Emodin,3220,Rheum palmatum (Dahuang),"anti-inflammatory, antioxidant",CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,C15H10O5,270.24,2.7,3,5,94.8,0,Rheum palmatum (Dahuang),"anti-inflammatory, antioxidant",Moderate,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O
Aloe emodin,10207,Aloe vera / Rheum,"anti-cancer, anti-oxidant",C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO,C15H10O5,270.24,1.8,3,5,94.8,1,Aloe vera / Rheum,"anti-cancer, anti-oxidant",Moderate,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO
Physcion,10639,Rheum palmatum,anti-inflammatory,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)OC,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)OC,C16H12O5,284.26,3.0,2,5,83.8,1,Rheum palmatum,anti-inflammatory,Likely,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)OC
Chrysophanol,10208,Rheum palmatum,anti-inflammatory,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,C15H10O4,254.24,3.5,2,4,74.6,0,Rheum palmatum,anti-inflammatory,Likely,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O
Salidroside,159278,Rhodiola rosea (Hongjingtian),"anti-hypoxia, neuroprotective",C1=CC(=CC=C1CCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O,C1=CC(=CC=C1CCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O,C14H20O7,300.30,-0.6,5,7,120.0,5,Rhodiola rosea (Hongjingtian),"anti-hypoxia, neuroprotective",Moderate,C1=CC(=CC=C1CCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O
Tyrosol,10393,Olea europaea / Rhodiola,antioxidant,C1=CC(=CC=C1CCO)O,C1=CC(=CC=C1CCO)O,C8H10O2,138.16,0.4,2,2,40.5,2,Olea europaea / Rhodiola,antioxidant,Likely,C1=CC(=CC=C1CCO)O
Hydroxytyrosol,82755,Olea europaea (Ganlan),potent antioxidant,C1=CC(=C(C=C1CCO)O)O,C1=CC(=C(C=C1CCO)O)O,C8H10O3,154.16,-0.7,3,3,60.7,2,Olea europaea (Ganlan),potent antioxidant,Likely,C1=CC(=C(C=C1CCO)O)O
Sulforaphane,5350,Brassica oleracea / Wasabia,"Nrf2 activator, anti-ferroptosis",CS(=O)CCCCN=C=S,CS(=O)CCCCN=C=S,C6H11NOS2,177.3,1.4,0,4,80.7,5,Brassica oleracea / Wasabia,"Nrf2 activator, anti-ferroptosis",Likely,CS(=O)CCCCN=C=S
Dimethyl fumarate,637568,Synthetic / Fumaria,"Nrf2 activator, MS drug",COC(=O)/C=C/C(=O)OC,COC(=O)/C=C/C(=O)OC,C6H8O4,144.12,0.7,0,4,52.6,4,Synthetic / Fumaria,"Nrf2 activator, MS drug",Likely,COC(=O)/C=C/C(=O)OC
Edaravone,4021,Synthetic,"radical scavenger, stroke drug",CC1=NN(C(=O)C1)C2=CC=CC=C2,CC1=NN(C(=O)C1)C2=CC=CC=C2,C10H10N2O,174.20,1.3,0,2,32.7,1,Synthetic,"radical scavenger, stroke drug",Likely,CC1=NN(C(=O)C1)C2=CC=CC=C2
Idebenone,3686,Synthetic (CoQ10 analog),mitochondrial antioxidant,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO,C19H30O5,338.4,4.3,1,5,72.8,12,Synthetic (CoQ10 analog),mitochondrial antioxidant,Likely,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO
Alpha-lipoic acid,864,Synthetic / endogenous,"antioxidant, mitochondrial",C1CSSC1CCCCC(=O)O,C1CSSC1CCCCC(=O)O,C8H14O2S2,206.3,1.7,1,4,87.9,5,Synthetic / endogenous,"antioxidant, mitochondrial",Likely,C1CSSC1CCCCC(=O)O
Melatonin,896,Pineal / endogenous,"antioxidant, mitochondrial",CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,C13H16N2O2,232.28,0.8,2,2,54.1,4,Pineal / endogenous,"antioxidant, mitochondrial",Likely,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
Huperzine A,854026,Huperzia serrata (QianCengTa),"AChE inhibitor, neuroprotective",C/C=C/1\[C@@H]2CC3=C([C@]1(CC(=C2)C)N)C=CC(=O)N3,C/C=C/1\[C@@H]2CC3=C([C@]1(CC(=C2)C)N)C=CC(=O)N3,C15H18N2O,242.32,0.0,2,2,55.1,0,Huperzia serrata (QianCengTa),"AChE inhibitor, neuroprotective",Likely,C/C=C/1\[C@@H]2CC3=C([C@]1(CC(=C2)C)N)C=CC(=O)N3
